년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
19-Jan,108,-0.9,-5.1,4.1
19-Feb,108,1,-3.2,6
19-Mar,108,7.1,2.7,12.4
19-Apr,108,12.1,7.2,17.6
19-May,108,19.4,13.7,25.6
19-Jun,108,22.5,18.1,27.7
19-Jul,108,25.9,22.7,30.1
19-Aug,108,27.2,23.6,31.6
19-Sep,108,22.6,19,27.1
19-Oct,108,16.4,11.8,21.8
19-Nov,108,7.6,3.1,12.9
19-Dec,108,1.4,-2.6,5.3
20-Jan,108,1.6,-1.7,5.9
20-Feb,108,2.5,-1.3,7.2
20-Mar,108,7.7,2.6,13.3
20-Apr,108,11.1,6.3,16.6
20-May,108,18,13.7,23.3
20-Jun,108,23.9,19.9,29
20-Jul,108,24.1,21.1,28
20-Aug,108,26.5,24.4,29.3
20-Sep,108,21.4,18,25.6
20-Oct,108,14.3,9.6,19.5
20-Nov,108,8,4,12.6
20-Dec,108,-0.3,-4.2,3.9
21-Jan,108,-2.4,-6.8,2.2
21-Feb,108,2.7,-2.2,7.9
21-Mar,108,9,4.3,14.8
21-Apr,108,14.2,9.5,19.5
21-May,108,17.1,12.8,21.9
21-Jun,108,22.8,18.9,27.6
21-Jul,108,28.1,24.6,32.2
21-Aug,108,25.9,22.8,29.7
21-Sep,108,22.6,18.8,26.9
21-Oct,108,15.6,11.6,20.5
21-Nov,108,8.2,4,13.1
21-Dec,108,0.6,-3.5,5.1
22-Jan,108,-2.2,-6.2,2.6
22-Feb,108,-1.1,-5.3,3.8
22-Mar,108,7.7,3.2,12.7
22-Apr,108,14.8,10,20.6
22-May,108,19.1,13.9,25
22-Jun,108,23.3,19.8,27.5
22-Jul,108,27.3,24.2,31
22-Aug,108,25.7,23.1,28.9
22-Sep,108,22.4,18.2,27.2
22-Oct,108,14.6,10.3,19.7
22-Nov,108,10,5.6,15.4
22-Dec,108,-2.8,-6.6,1.7
23-Jan,108,-1.5,-5.7,3.2
23-Feb,108,2.3,-1.9,7.3
23-Mar,108,9.8,4.2,16.2
23-Apr,108,13.8,8.8,19
23-May,108,19.5,14.6,25
23-Jun,108,23.4,19.7,27.9
23-Jul,108,26.7,23.9,30.2
23-Aug,108,27.2,24.3,30.8
23-Sep,108,23.7,20.2,27.6
23-Oct,108,15.8,11.5,21
23-Nov,108,6.8,2.9,11.5
23-Dec,108,1.1,-2.5,5.2
24-Jan,108,-0.5,-3.9,3.6
24-Feb,108,3.8,0.2,8.2
24-Mar,108,7,2.4,12
24-Apr,108,16.3,11.5,22.4
24-May,108,18.5,13.8,23.7
24-Jun,108,24.6,19.9,30.1
24-Jul,108,26.6,24.1,29.6
24-Aug,108,29.3,26.3,33.3
24-Sep,108,25.5,22,29.8
24-Oct,108,16.7,12.7,21.4
24-Nov,108,9.9,5.7,15.2
